game_id,team_id,opponent,points_scored,fast_break_points_for,fast_break_points_against,turnover_points_for,turnover_points_against,second_chance_points_for,second_chance_points_against,defensive_rebounds_for,defensive_rebounds_against,offensive_rebounds_for,offensive_rebounds_against,turnovers_for,turnovers_against,steals_for,steals_against,assists_for,assists_against,3P%_for,3P%_against,2P%_for,2P%_against,FT%_for,PFR_for,PFD_against,3PR_for,3PR_against,FTR_for,FTR_against,PACE,ORtg,DRtg,eFG%,TS%
E2017_153_a,MAL,BAS,80,10,0,11,9,16,20,23,23,15,11,9,11,6,5,20,15,43.333333333333336,44.0,47.5,67.6470588235294,71.42857142857143,24.88249930881946,23.50013823610727,42.85714285714285,42.3728813559322,10.0,25.42372881355932,72.34,113.35360796239978,121.64777439867292,55.0,56.10290093048714
E2017_153_b,BAS,MAL,82,6,8,17,15,10,8,26,27,10,6,15,13,3,9,17,21,44.0,43.333333333333336,67.6470588235294,47.5,60.0,23.50013823610727,23.50013823610727,42.3728813559322,42.85714285714285,25.42372881355932,10.0,72.34,121.64777439867292,113.35360796239978,66.94915254237289,67.07317073170732
E2017_154_a,PAM,KHI,82,9,8,10,12,7,15,19,25,8,15,6,9,2,2,19,25,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2017_154_b,KHI,PAM,82,4,2,22,8,18,8,27,21,12,6,12,15,10,5,19,14,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2017_155_a,MAD,IST,75,0,10,9,11,20,16,23,23,11,15,11,9,5,6,15,20,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2017_155_b,IST,MAD,84,8,13,10,13,8,8,17,21,12,8,7,11,7,6,18,22,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2017_156_a,PAN,ZAL,70,16,11,8,14,12,10,24,27,12,10,9,10,7,5,18,12,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2017_156_b,ZAL,PAN,86,8,9,12,10,15,7,25,19,15,8,9,6,2,2,25,19,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2017_157_a,RED,OLY,75,2,17,6,22,4,8,25,22,10,10,16,8,7,11,13,15,30.76923076923077,42.85714285714285,36.36363636363637,52.38095238095238,55.0,36.07503607503608,31.746031746031747,44.067796610169495,33.333333333333336,33.898305084745765,31.746031746031747,69.3,85.13708513708514,122.65512265512264,40.67796610169491,43.51032448377581
E2017_157_b,OLY,RED,54,2,4,8,22,8,18,21,27,6,12,15,12,5,10,14,19,42.85714285714285,30.76923076923077,52.38095238095238,36.36363636363637,70.0,31.746031746031747,36.07503607503608,33.333333333333336,44.067796610169495,31.746031746031747,33.898305084745765,69.3,122.65512265512264,85.13708513708514,56.34920634920635,59.19220055710306
E2017_158_a,CSK,BAM,75,11,16,14,8,10,12,27,24,10,12,10,9,5,7,12,18,45.45454545454545,40.90909090909091,61.90476190476191,56.25,66.66666666666667,29.957203994293867,31.383737517831676,34.375,40.74074074074074,23.4375,27.77777777777778,70.1,131.2410841654779,108.41654778887305,64.0625,65.1558073654391
E2017_158_b,BAM,CSK,66,4,10,7,24,10,15,22,22,10,10,20,10,5,13,18,16,40.90909090909091,45.45454545454545,56.25,61.90476190476191,86.66666666666667,31.383737517831676,29.957203994293867,40.74074074074074,34.375,27.77777777777778,23.4375,70.1,108.41654778887305,131.2410841654779,58.333333333333336,62.70627062706271
E2017_159_a,MIL,TEL,83,8,6,15,17,8,10,27,26,6,10,13,15,9,3,21,17,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2017_159_b,TEL,MIL,89,17,2,22,6,8,4,22,25,10,10,8,16,11,7,15,13,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2017_160_a,ULK,BAR,89,13,8,13,10,8,8,21,17,8,12,11,7,6,7,22,18,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2017_160_b,BAR,ULK,81,10,4,24,7,15,10,22,22,10,10,10,20,13,5,16,18,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2017_161_a,IST,PAM,68,4,8,15,7,8,12,21,32,13,14,7,13,7,3,15,23,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
