game_id,score
E2017_050_a,72
E2017_050_b,92
E2017_051_a,93
E2017_051_b,65
E2017_052_a,83
E2017_052_b,85
E2017_053_a,84
E2017_053_b,81
E2017_054_a,59
E2017_054_b,85
E2017_055_a,83
E2017_055_b,90
E2017_056_a,98
E2017_056_b,103
E2017_057_a,81
E2017_057_b,82
E2017_058_a,69
E2017_058_b,77
E2017_059_a,89
E2017_059_b,57
E2017_060_a,77
E2017_060_b,97
E2017_061_a,93
E2017_061_b,95
E2017_062_a,71
E2017_062_b,62
E2017_063_a,89
E2017_063_b,71
E2017_064_a,85
E2017_064_b,59
E2017_065_a,83
E2017_065_b,82
E2017_066_a,81
E2017_066_b,85
E2017_067_a,89
E2017_067_b,67
E2017_068_a,91
E2017_068_b,83
E2017_069_a,85
E2017_069_b,86
E2017_070_a,82
E2017_070_b,80
E2017_071_a,71
E2017_071_b,67
E2017_072_a,80
E2017_072_b,89
E2017_073_a,73
E2017_073_b,68
E2017_074_a,69
E2017_074_b,83
E2017_075_a,82
E2017_075_b,73
E2017_076_a,81
E2017_076_b,74
E2017_077_a,64
E2017_077_b,72
E2017_078_a,92
E2017_078_b,78
E2017_079_a,82
E2017_079_b,71
E2017_080_a,83
E2017_080_b,87
E2017_081_a,88
E2017_081_b,82
E2017_082_a,76
E2017_082_b,92
E2017_083_a,71
E2017_083_b,77
E2017_084_a,94
E2017_084_b,91
E2017_085_a,80
E2017_085_b,74
E2017_086_a,100
E2017_086_b,81
E2017_087_a,68
E2017_087_b,83
E2017_088_a,92
E2017_088_b,83
E2017_089_a,67
E2017_089_b,65
E2017_090_a,89
E2017_090_b,90
E2017_091_a,87
E2017_091_b,75
E2017_092_a,93
E2017_092_b,84
E2017_093_a,81
E2017_093_b,82
E2017_094_a,101
E2017_094_b,86
E2017_095_a,80
E2017_095_b,72
E2017_096_a,82
E2017_096_b,86
E2017_097_a,82
E2017_097_b,56
E2017_098_a,89
E2017_098_b,76
E2017_099_a,91
E2017_099_b,72
E2017_100_a,88
E2017_100_b,84
E2017_101_a,92
E2017_101_b,85
E2017_102_a,83
E2017_102_b,90
E2017_103_a,86
E2017_103_b,68
E2017_104_a,88
E2017_104_b,86
E2017_105_a,66
E2017_105_b,81
E2017_106_a,63
E2017_106_b,69
E2017_107_a,82
E2017_107_b,73
E2017_108_a,63
E2017_108_b,71
E2017_109_a,58
E2017_109_b,61
E2017_110_a,85
E2017_110_b,82
